,Age,Employment_Type,Weighing_Factor,Education_Level,Schooling,Marital_Status,Employment_Area,Partnership,Ethnicity,Gender,Gains_FA,Loss_FA,Working_Time,Income
0,3.6888794541139363,5,11.258252546125393,9,1.135321830581306,4,0,1,4,1,7.684783943522785,0.0,-0.0350797717809148,0
1,3.9318256327243257,4,11.33034787540268,9,1.135321830581306,2,3,0,4,1,0.0,0.0,-2.22790390687437,0
2,3.6635616461296463,2,12.281398090548665,11,-0.4197715361175882,0,5,1,4,1,0.0,0.0,-0.0350797717809148,0
3,3.9889840465642745,2,12.366157114131235,1,-1.1973182194670353,2,5,0,2,1,0.0,0.0,-0.0350797717809148,0
4,3.367295829986474,2,12.732013457105012,9,1.135321830581306,2,9,5,2,0,0.0,0.0,-0.0350797717809148,0
5,3.6375861597263857,2,12.558780229895266,12,1.5240951722560296,2,3,5,4,0,0.0,0.0,-0.0350797717809148,0
6,3.912023005428146,2,11.984103404443733,6,-1.9748649028164826,3,7,1,2,0,0.0,0.0,-1.9842567807528748,0
7,3.970291913552122,4,12.253161363059847,11,-0.4197715361175882,2,3,0,4,1,0.0,0.0,0.3709987717549102,1
8,3.4657359027997265,2,10.731646279751951,12,1.5240951722560296,4,9,1,4,0,9.552865680310473,0.0,0.7770773152907352,1
9,3.7612001156935624,2,11.979485672438203,9,1.135321830581306,2,3,0,4,1,8.552367266423891,0.0,-0.0350797717809148,1
10,3.6375861597263857,2,12.544204218975967,15,-0.030998194442864665,2,3,0,2,1,0.0,0.0,3.2135485765056853,1
11,3.4339872044851463,5,11.858626414290775,9,1.135321830581306,2,9,0,1,1,0.0,0.0,-0.0350797717809148,1
12,3.1780538303479458,2,11.71401152870049,9,1.135321830581306,4,0,3,4,0,0.0,0.0,-0.8472368588525648,0
13,3.4965075614664802,2,12.230862814337392,7,0.7465484889065824,4,11,1,2,1,0.0,0.0,0.7770773152907352,0
14,3.713572066704308,2,11.70991393480758,8,0.3577751472318589,2,2,0,1,1,0.0,0.0,-0.0350797717809148,1
15,3.5553480614894135,2,12.411003345184987,5,-2.3636382444912063,2,13,0,0,1,0.0,0.0,0.3709987717549102,0
16,3.258096538021482,4,12.082531186934999,11,-0.4197715361175882,4,4,3,4,1,0.0,0.0,-0.4411583153167398,0
17,3.4965075614664802,2,12.13792762879849,11,-0.4197715361175882,4,6,4,4,1,0.0,0.0,-0.0350797717809148,0
18,3.6635616461296463,2,10.271181562957294,1,-1.1973182194670353,2,11,0,4,1,0.0,0.0,0.7770773152907352,0
19,3.784189633918261,4,12.585111639401815,12,1.5240951722560296,0,3,4,4,0,0.0,0.0,0.3709987717549102,1
20,3.713572066704308,2,12.173161982072914,10,2.3016418556054767,2,9,0,4,1,0.0,0.0,1.5892344023623852,1
21,4.007333185232471,2,12.618668932897123,11,-0.4197715361175882,5,7,4,2,0,0.0,0.0,-1.6593939459242149,0
22,3.58351893845611,0,11.249558698165147,6,-1.9748649028164826,2,4,0,2,1,0.0,0.0,-0.0350797717809148,0
23,3.784189633918261,2,11.670253947373018,1,-1.1973182194670353,2,13,0,4,1,0.0,7.622174594817622,-0.0350797717809148,0
24,4.0943445622221,2,11.599249939429656,11,-0.4197715361175882,0,12,4,4,0,0.0,0.0,-0.0350797717809148,0
25,4.04305126783455,1,12.286970372186165,9,1.135321830581306,2,12,0,4,1,0.0,0.0,-0.0350797717809148,1
26,2.995732273553991,2,12.033473670884343,11,-0.4197715361175882,4,2,3,4,1,0.0,0.0,-0.0350797717809148,0
27,4.007333185232471,7,12.101889214613987,15,-0.030998194442864665,2,14,0,1,1,0.0,0.0,1.5892344023623852,1
28,3.6888794541139363,2,12.813828045936097,11,-0.4197715361175882,0,3,1,4,1,0.0,0.0,3.2135485765056853,0
29,3.912023005428146,2,12.172345216625278,11,-0.4197715361175882,2,2,0,4,1,0.0,0.0,-0.0350797717809148,0
30,3.1780538303479458,1,12.158509228598565,7,0.7465484889065824,4,10,1,4,1,0.0,0.0,0.9395087327050652,0
31,3.044522437723423,2,12.491311736330815,15,-0.030998194442864665,4,11,3,2,1,0.0,0.0,0.2897830630477452,0
32,3.828641396489095,2,12.866027505609146,9,1.135321830581306,0,3,3,4,1,0.0,7.25063551189868,-0.0350797717809148,0
33,3.4339872044851463,0,11.001299521033468,15,-0.030998194442864665,2,0,3,4,1,0.0,0.0,-0.0350797717809148,0
34,3.1354942159291497,5,12.649196349886177,15,-0.030998194442864665,2,7,0,2,1,0.0,0.0,-2.06547248946004,0
35,3.8918202981106265,2,12.398373410648126,1,-1.1973182194670353,4,6,4,4,1,0.0,0.0,-0.0350797717809148,0
36,3.091042453358316,2,12.19197879213173,15,-0.030998194442864665,4,6,3,4,1,0.0,0.0,-0.0350797717809148,0
37,2.995732273553991,2,13.206873629186362,11,-0.4197715361175882,1,0,5,4,0,0.0,0.0,-1.25331540238839,0
38,3.4657359027997265,2,11.340415615560266,15,-0.030998194442864665,2,11,0,4,1,0.0,0.0,-0.1975111891952448,1
39,3.8918202981106265,4,12.489287253707301,7,0.7465484889065824,2,9,0,4,1,0.0,0.0,-0.0350797717809148,0
40,3.4657359027997265,2,13.13799260227652,6,-1.9748649028164826,2,6,0,4,1,0.0,0.0,0.2085673543405802,0
41,3.9889840465642745,4,11.390836923913291,9,1.135321830581306,2,9,0,4,1,0.0,0.0,-0.0350797717809148,0
42,3.2188758248682006,2,12.060977506912261,9,1.135321830581306,2,12,0,4,1,0.0,0.0,0.7770773152907352,0
43,3.912023005428146,2,11.457824932239724,11,-0.4197715361175882,5,0,4,4,0,0.0,0.0,-0.0350797717809148,0
44,3.258096538021482,2,12.57757068257493,11,-0.4197715361175882,4,5,1,4,1,0.0,0.0,-0.4411583153167398,0
45,4.060443010546419,0,12.730493434810473,9,1.135321830581306,2,9,0,2,1,0.0,0.0,-0.0350797717809148,1
46,3.9889840465642745,2,11.880079312914011,11,-0.4197715361175882,2,6,0,4,1,0.0,0.0,-0.1975111891952448,0
47,3.8066624897703196,2,11.762555141520265,12,1.5240951722560296,0,3,4,4,0,0.0,0.0,-0.0350797717809148,0
48,3.7376696182833684,5,11.528838183430278,8,0.3577751472318589,2,2,0,4,1,0.0,0.0,-0.0350797717809148,0
49,3.4011973816621555,2,12.51159586400737,8,0.3577751472318589,4,9,1,4,1,0.0,0.0,0.2085673543405802,0
50,3.258096538021482,2,10.382079198968396,15,-0.030998194442864665,2,3,5,3,0,0.0,0.0,-0.0350797717809148,0
51,2.9444389791664403,2,12.332515851207145,11,-0.4197715361175882,4,7,3,4,0,0.0,0.0,-0.8472368588525648,0
52,3.871201010907891,2,10.855840167555305,14,1.9128685139307533,2,9,5,4,0,0.0,7.551186867296149,1.5892344023623852,1
53,3.9318256327243257,0,12.435540158381071,9,1.135321830581306,0,3,1,4,1,0.0,0.0,1.1831558588265603,1
